uid,t_fastga_total,t_fastga_integrate,t_fastga_peak,t_polylidar_planepoly,t_polylidar_filter,t_bilateral,t_polylabel,t_mesh_extraction,computer
1,3.8882509998074966,0.346980999893276,3.5412699999142205,1.2091079997844645,17.136803000539658,1.9758840007852996,0.09388599937665276,15.465,desktop
2,1.6146499992828467,0.3771379997488111,1.2375119995340356,1.2801309994756593,10.269366000102309,2.5810629995248746,0.14843899953120854,14.658,desktop
3,2.0249080007488374,0.3211920002286206,1.7037160005202168,1.6238059997704113,20.79898800002411,3.467544999693928,0.1585669997439254,16.365,desktop
4,7.944345998112112,0.67680799838854,7.267537999723572,2.812474995153025,45.47744399314979,7.065952995617408,0.2355250035179779,38.604,odyssey
5,3.936766996048391,0.6763220007997006,3.2604449952486902,2.691505003895145,41.64898300223285,7.8307459989446215,0.2875100035453215,40.622,odyssey
6,9.019064003950916,1.214279000123497,7.804785003827419,3.644556003564503,39.631571002246346,11.378651004633866,0.25333600206067786,52.100,odyssey
